date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:06	288449/288449	---M-Z	200	added ('OK')	text/html	etag:%22466c1-66adf063-ee8d5a6cc1416a97;gz%22	https://html.themewant.com/news5/main/blog-2cols.html	D:/Excel/new2/html.themewant.com/news5/main/blog-2cols.html	(from https://html.themewant.com/news5/main/index.html)
16:53:07	283244/283244	---M-Z	200	added ('OK')	text/html	etag:%224526c-66adf063-7807c042ab25c01a;gz%22	https://html.themewant.com/news5/main/blog-3cols.html	D:/Excel/new2/html.themewant.com/news5/main/blog-3cols.html	(from https://html.themewant.com/news5/main/index.html)
16:53:08	269076/269076	---M-Z	200	added ('OK')	text/html	etag:%2241b14-66adf063-55ffe39ff77e1876;gz%22	https://html.themewant.com/news5/main/blog-4cols.html	D:/Excel/new2/html.themewant.com/news5/main/blog-4cols.html	(from https://html.themewant.com/news5/main/index.html)
16:53:08	235109/235109	---M-Z	200	added ('OK')	text/html	etag:%2239665-66adf063-ae22a8f250410434;gz%22	https://html.themewant.com/news5/main/blog-details.html	D:/Excel/new2/html.themewant.com/news5/main/blog-details.html	(from https://html.themewant.com/news5/main/index.html)
16:53:09	236341/236341	---M-Z	200	added ('OK')	text/html	etag:%2239b35-66adf063-706db9fb2594b12b;gz%22	https://html.themewant.com/news5/main/blog-details-2.html	D:/Excel/new2/html.themewant.com/news5/main/blog-details-2.html	(from https://html.themewant.com/news5/main/index.html)
16:53:10	32238/32238	---M-Z	200	added ('OK')	text/html	etag:%227dee-66adf063-e7c6566d2ccae0dc;gz%22	https://html.themewant.com/news5/main/sign-up.html	D:/Excel/new2/html.themewant.com/news5/main/sign-up.html	(from https://html.themewant.com/news5/main/index.html)
16:53:11	32231/32231	---M-Z	200	added ('OK')	text/html	etag:%227de7-66adf063-9cb6653ca89c8145;gz%22	https://html.themewant.com/news5/main/sign-in.html	D:/Excel/new2/html.themewant.com/news5/main/sign-in.html	(from https://html.themewant.com/news5/main/index.html)
16:53:12	30203/30203	---M-Z	200	added ('OK')	text/html	etag:%2275fb-66adf063-eba2ad19cf15c672;gz%22	https://html.themewant.com/news5/main/reset-password.html	D:/Excel/new2/html.themewant.com/news5/main/reset-password.html	(from https://html.themewant.com/news5/main/index.html)
16:53:12	27447/27447	---M-Z	200	added ('OK')	text/html	etag:%226b37-66adf063-779cf75deea46354;gz%22	https://html.themewant.com/news5/main/404.html	D:/Excel/new2/html.themewant.com/news5/main/404.html	(from https://html.themewant.com/news5/main/index.html)
16:53:13	28790/28790	---M-Z	200	added ('OK')	text/html	etag:%227076-66adf063-c0bb2a48c4b7db76;gz%22	https://html.themewant.com/news5/main/coming-soon.html	D:/Excel/new2/html.themewant.com/news5/main/coming-soon.html	(from https://html.themewant.com/news5/main/index.html)
